Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2004-10-11,137.01,138.86,133.85,135.26,10472100.0,0.0,1.0,68.71712317623596,69.64498740421959,67.13223076519365,67.83941377138657,10472100.0
2004-10-12,134.49,137.61,133.4,137.4,11665500.0,0.0,1.0,67.45322163325287,69.01805211504147,66.90653406108954,68.91272698645953,11665500.0
2004-10-13,143.24,143.55,140.08,140.9,19766200.0,0.0,1.0,71.84176865749974,71.99724860921592,70.25687624645744,70.66814579615829,19766200.0
2004-10-14,141.02,142.38,138.56,142.0,10442100.0,0.0,1.0,70.7283315839194,71.41043717854518,69.49452293481684,71.21984885063503,10442100.0
2004-10-15,144.95,145.5,141.95,144.11,13194700.0,0.0,1.0,72.69941613309541,72.97526766033378,71.1947714390679,72.27811561876771,13194700.0
2004-10-18,143.12,149.2,141.21,149.16,14036300.0,0.0,1.0,71.78158286973864,74.83099611630104,70.82362574787446,74.81093418704734,14036300.0
2004-10-19,150.5,152.4,147.35,147.94,18109800.0,0.0,1.0,75.48300881704628,76.43595045659704,73.9031318883174,74.19904534480949,18109800.0
2004-10-20,147.94,148.99,139.6,140.49,22722600.0,0.0,1.0,74.19904534480949,74.72567098771911,70.01613309541304,70.46251102130786,22722600.0
2004-10-21,144.13,150.13,141.62,149.38,29149800.0,0.0,1.0,72.28814658339456,75.29743597144956,71.02926052272488,74.92127479794269,29149800.0
2004-10-22,170.435,180.17,164.08,172.43,73710000.0,0.0,1.0,85.48137280885904,90.36394484097826,82.29403379867745,86.48196153038732,73710000.0
2004-10-25,176.28,194.43,172.55,187.4,65462800.0,0.0,1.0,88.41292222105595,97.51602261992232,86.54214731814842,93.99013855358456,65462800.0
2004-10-26,186.449,192.64,180.0,181.8,44569500.0,0.0,1.0,93.51316618557783,96.61825128581924,90.27868164165005,91.18146845806655,44569500.0
2004-10-27,182.509,189.52,181.77,185.97,26686200.0,0.0,1.0,91.53706615408838,95.05342080403065,91.16642201112627,93.27292458276477,26686200.0
2004-10-28,186.63,194.39,185.6,193.3,29663900.0,0.0,1.0,93.60394641545082,97.49596069066862,93.08735173716805,96.9492731185053,29663900.0
